119045,0.63
112223,0.73
103924,0.78
105922,0.68
103297,0.51
115525,0.73
116409,0.69
109427,0.64
118590,0.69
107075,0.64
101173,0.58
127419,0.51
109575,0.7
115834,0.69
119963,0.65
107449,0.65
115767,0.67
114678,0.43
104384,0.69
113998,0.45
115060,0.51
106141,0.78
102113,0.69
103723,0.47
100400,0.69
106597,0.73
105299,0.47
103740,0.68
127312,0.51
100564,0.47
107811,0.69
100646,0.73
109852,0.73
118666,0.67
112180,0.73
100787,0.64
107726,0.47
113851,0.49
115282,0.67
105654,0.48
100405,0.51
123181,0.47
106100,0.64
116407,0.51
110213,0.65
116010,0.51
138635,0.68
109241,0.65
111864,0.69
116431,0.47
110559,0.61
105027,0.69
101272,0.65
113568,0.64
112855,0.69
109599,0.64
102397,0.69
119115,0.66
134126,0.73
121900,0.51
102998,0.69
103805,0.71
100365,0.69
108576,0.65
114361,0.51
113694,0.48
102301,0.64
121406,0.48
145105,0.66
106890,0.48
117431,0.76
101534,0.64
110456,0.64
104576,0.47
117933,0.69
117781,0.51
119721,0.69
100230,0.65
117030,0.67
112360,0.51
124246,0.74
117804,0.69
109658,0.69
107490,0.48
110555,0.69
133022,0.73
109383,0.66
144357,0.68
104120,0.67
136286,0.73
112200,0.73
123320,0.67
114160,0.69
119725,0.48
106053,0.51
116666,0.73
106422,0.65
107889,0.65
117622,0.73
108058,0.51
